,始发地,目的地,所在航空公司,航班号,始发机场,目的机场,起飞时间,落地时间,机票价格,数据来源,日期
161,北京,广州,东方航空,MU9315,首都国际机场,白云机场,20:05,20:05,480,东方航空,20200716
162,北京,广州,上海航空,FM9327,虹桥国际机场,白云机场,18:30,21:00,380,东方航空,20200716
163,北京,广州,东方航空,MU9327,首都国际机场,白云机场,21:00,21:00,380,东方航空,20200716
164,北京,广州,东方航空,MU5311,虹桥国际机场,白云机场,19:30,21:50,380,东方航空,20200716
165,北京,广州,东方航空,MU5313,虹桥国际机场,白云机场,20:35,23:00,380,东方航空,20200716
166,北京,广州,上海航空,FM9311,浦东国际机场,白云机场,21:15,23:40,370,东方航空,20200716
167,北京,广州,东方航空,MU9311,浦东国际机场,白云机场,21:15,23:40,370,东方航空,20200716
168,北京,广州,东方航空,MU5315,虹桥国际机场,白云机场,22:25,00:45,180,东方航空,20200716
169,北京,广州,吉祥航空,HO1077,虹桥国际机场,白云机场,08:00,10:15,500,东方航空,20200716
170,北京,广州,东方航空,MU3157,虹桥国际机场,白云机场,10:50,13:15,"1,160",东方航空,20200716
171,北京,广州,东方航空,MU3156,虹桥国际机场,白云机场,11:50,14:20,"1,160",东方航空,20200716
172,北京,广州,东方航空,MU3159,虹桥国际机场,白云机场,15:50,18:15,"1,160",东方航空,20200716
173,北京,广州,吉祥航空,HO1287,虹桥国际机场,白云机场,18:05,20:20,500,东方航空,20200716
174,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200717
175,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200717
176,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200717
177,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200717
178,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,12:50,"1,270",东方航空,20200717
179,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200717
180,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200717
181,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200718
182,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200718
183,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200718
184,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200718
185,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,13:00,"1,270",东方航空,20200718
186,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200718
187,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200718
188,北京,广州,上海航空,FM9301,虹桥国际机场,白云机场,07:30,10:00,860,东方航空,20200719
189,北京,广州,东方航空,MU9301,首都国际机场,白云机场,10:00,10:00,860,东方航空,20200719
190,北京,广州,东方航空,MU5539,虹桥国际机场,白云机场,08:05,10:25,950,东方航空,20200719
191,北京,广州,上海航空,FM9305,虹桥国际机场,白云机场,08:30,10:55,950,东方航空,20200719
192,北京,广州,东方航空,MU9305,首都国际机场,白云机场,10:55,10:55,950,东方航空,20200719
193,北京,广州,上海航空,FM9303,虹桥国际机场,白云机场,09:00,11:30,950,东方航空,20200719
194,北京,广州,东方航空,MU5301,虹桥国际机场,白云机场,09:30,11:55,950,东方航空,20200719
195,北京,广州,东方航空,MU5393,虹桥国际机场,白云机场,09:50,12:25,950,东方航空,20200719
196,北京,广州,上海航空,FM9307,虹桥国际机场,白云机场,10:30,12:55,950,东方航空,20200719
197,北京,广州,东方航空,MU9307,首都国际机场,白云机场,12:55,12:55,950,东方航空,20200719
198,北京,广州,东方航空,MU5303,虹桥国际机场,白云机场,11:30,14:00,950,东方航空,20200719
199,北京,广州,东方航空,MU5305,虹桥国际机场,白云机场,12:30,15:05,950,东方航空,20200719
200,北京,广州,上海航空,FM9309,虹桥国际机场,白云机场,13:30,15:55,950,东方航空,20200719
201,北京,广州,东方航空,MU9309,首都国际机场,白云机场,15:55,15:55,950,东方航空,20200719
202,北京,广州,东方航空,MU5307,虹桥国际机场,白云机场,14:30,16:55,950,东方航空,20200719
203,北京,广州,上海航空,FM9313,虹桥国际机场,白云机场,15:30,17:55,950,东方航空,20200719
204,北京,广州,东方航空,MU9313,首都国际机场,白云机场,17:55,17:55,950,东方航空,20200719
205,北京,广州,东方航空,MU5309,虹桥国际机场,白云机场,16:30,19:05,950,东方航空,20200719
206,北京,广州,上海航空,FM9315,虹桥国际机场,白云机场,17:25,20:05,480,东方航空,20200719
207,北京,广州,东方航空,MU9315,首都国际机场,白云机场,20:05,20:05,480,东方航空,20200719
208,北京,广州,上海航空,FM9327,虹桥国际机场,白云机场,18:30,21:00,380,东方航空,20200719
209,北京,广州,东方航空,MU9327,首都国际机场,白云机场,21:00,21:00,380,东方航空,20200719
210,北京,广州,东方航空,MU5311,虹桥国际机场,白云机场,19:30,21:50,380,东方航空,20200719
211,北京,广州,东方航空,MU5313,虹桥国际机场,白云机场,20:35,23:00,380,东方航空,20200719
212,北京,广州,上海航空,FM9311,浦东国际机场,白云机场,21:15,23:40,370,东方航空,20200719
213,北京,广州,东方航空,MU9311,浦东国际机场,白云机场,21:15,23:40,370,东方航空,20200719
214,北京,广州,东方航空,MU5315,虹桥国际机场,白云机场,22:25,00:45,380,东方航空,20200719
215,北京,广州,吉祥航空,HO1077,虹桥国际机场,白云机场,08:00,10:15,500,东方航空,20200719
216,北京,广州,东方航空,MU3157,虹桥国际机场,白云机场,10:50,13:15,"1,160",东方航空,20200719
217,北京,广州,东方航空,MU3156,虹桥国际机场,白云机场,11:50,14:20,"1,160",东方航空,20200719
218,北京,广州,东方航空,MU3159,虹桥国际机场,白云机场,15:50,18:15,"1,160",东方航空,20200719
219,北京,广州,吉祥航空,HO1287,虹桥国际机场,白云机场,18:05,20:20,500,东方航空,20200719
220,北京,广州,上海航空,FM9301,虹桥国际机场,白云机场,07:30,10:00,860,东方航空,20200720
221,北京,广州,东方航空,MU9301,首都国际机场,白云机场,10:00,10:00,860,东方航空,20200720
222,北京,广州,东方航空,MU5539,虹桥国际机场,白云机场,08:05,10:25,950,东方航空,20200720
223,北京,广州,上海航空,FM9305,虹桥国际机场,白云机场,08:30,10:55,950,东方航空,20200720
224,北京,广州,东方航空,MU9305,首都国际机场,白云机场,10:55,10:55,950,东方航空,20200720
225,北京,广州,上海航空,FM9303,虹桥国际机场,白云机场,09:00,11:30,950,东方航空,20200720
226,北京,广州,东方航空,MU5301,虹桥国际机场,白云机场,09:30,11:55,950,东方航空,20200720
227,北京,广州,东方航空,MU5393,虹桥国际机场,白云机场,09:50,12:25,950,东方航空,20200720
228,北京,广州,上海航空,FM9307,虹桥国际机场,白云机场,10:30,12:55,950,东方航空,20200720
229,北京,广州,东方航空,MU9307,首都国际机场,白云机场,12:55,12:55,950,东方航空,20200720
230,北京,广州,东方航空,MU5303,虹桥国际机场,白云机场,11:30,14:00,950,东方航空,20200720
231,北京,广州,东方航空,MU5305,虹桥国际机场,白云机场,12:30,15:05,950,东方航空,20200720
232,北京,广州,上海航空,FM9309,虹桥国际机场,白云机场,13:30,15:55,950,东方航空,20200720
233,北京,广州,东方航空,MU9309,首都国际机场,白云机场,15:55,15:55,950,东方航空,20200720
234,北京,广州,东方航空,MU5307,虹桥国际机场,白云机场,14:30,16:55,950,东方航空,20200720
235,北京,广州,上海航空,FM9313,虹桥国际机场,白云机场,15:30,17:55,950,东方航空,20200720
236,北京,广州,东方航空,MU9313,首都国际机场,白云机场,17:55,17:55,950,东方航空,20200720
237,北京,广州,东方航空,MU5309,虹桥国际机场,白云机场,16:30,19:05,950,东方航空,20200720
